Hora token	Fecha token	Token 	id_usu	nomFoto_usu	nomUsuario_usu	nom_usu	ape1_usu	ape2_usu	biografia_usu	mail	rol	activado	borrado	codigoRegistro	pwd modo texto	pwd SHA2512	lastAuthUpdate
			1	quae	Missouri.Kutch	May	Streich	Homenick	Nihil cum debitis id ut. Deserunt mollitia libero vero perspiciatis. Tempore consequatur aut cum voluptatibus expedita repudiandae nulla et. Maxime et consequatur et dolorem. Qui magni ea fuga ratione quo sint qui.	sodek@okolkad.buzz	normal	NULL	NULL	NULL		AD9224189E8844025720913E26C432902C9580CEAF7649B493B2AA9B96BFF99D6807E952B5111C379FCF083223F455280D7D7B7EA85F0921D924E3C8CD20E783	NULL
			2	eum	Leila.Aufderhar4	Anna	Kozey	Ryan	Et eius debitis est consequatur eos voluptate omnis et repellat. Illo rerum recusandae vero commodi consequatur explicabo facilis iste. Animi aperiam voluptatum molestiae vitae error rem. Sunt sit odio voluptate incidunt id repellat. Suscipit fugiat in voluptate rerum et earum ut. Eaque rerum omnis eos assumenda error ut pariatur.	nemoka6529@jentrix.com	normal	NULL	NULL	NULL		19F7BAD29BD345394FBC66549F0986B572A65F44DFF055AB06C7FEA808B5879C0A9BB62FCDB7BC38750987C3D0EFEE16F0FAD7409AE51EEDBF102B57EDF91F8D	NULL
			3	numquam	Tyree85	Rosario	Skiles	O'Conner	Voluptas facilis soluta. Ipsum ad quasi totam quis perferendis quo. Ea qui ipsum voluptates reprehenderit provident placeat id illum doloribus. Sint perferendis explicabo est aperiam.	upriced_y691b@hexud.com	normal	NULL	NULL	NULL		821DD8580CB906A4D459CA935CF202540E9C4A3D8932CA54A373F44A2E2B1A42822A5C6EF379EBC5040FF8D66678BB53E5F7CE91D872736E27D19378824C0EC3	NULL
			4	in	Abbey.Oberbrunner31	Blanche	Roberts	Douglas	Veniam nulla aut et ut. Consequatur aperiam dolor voluptatum consequatur vel. Iusto sequi nemo ut. Itaque et aut ullam minima. Magni voluptatum consequatur. Sunt exercitationem et modi et minus ut.	declaredleather@lilspam.com	normal	NULL	NULL	NULL		15E14F9AD971676E160C4121C694E9F2E3EC860EBFE542582A7310125C3295F56B642496EC261E17253A7A2A335E6BB189CFE05C0184EEA30FC8FE5B232AAD3A	NULL
			5	dicta	Kayden.Waelchi	Milford	Vandervort	Shields	Sit perferendis sint explicabo. Voluptatem harum maxime dolores sed. Repellat cupiditate quaerat dolores aut qui et ex magni at. Asperiores et pariatur quidem qui repudiandae dolorem.	Mardelis1957@einrot.com	normal	NULL	NULL	NULL		A152FA1E3AB26C1392C45A9BE49097FF8A3F173F6951A4CEC542D4BCFA7D4B8A5031BA5E28C9DD1DBE8ACEF4EDDB4D9AFE3DB5DE1979449B8EB64260217119D8	NULL
			6	eius	Hilario_Stracke	Lina	Willms	Streich	Ea repellendus in minus assumenda rerum voluptatum. Ut quaerat et qui hic voluptatem. Magnam fuga in consequatur fuga aut quo. Voluptates quis odit. Ut harum et explicabo omnis.	Stessiging1967@rhyta.com	normal	NULL	NULL	NULL		9FBFDA7BDB531DDB0704D230CBFD710721F0B8D7E8CF0CF405161A5CCFC6A95AE9C96D3670D7C44079D87D753125C26E417D47D515944F72C9B374747AA1EB81	NULL
			7	corrupti	Kariane.Schuppe98	Donnell	Wintheiser	Effertz	Consequatur delectus ut dolores quo. Quis dolores et. Sed officiis autem reiciendis similique aut est. Eum quae corrupti voluptatem qui laudantium.	honorobject@mailbiscuit.com	normal	NULL	NULL	NULL		71BB1037C21EE44FF8C0D19EA0C6BFAC4EF02C5B2DBF6E5C67CA4D681BB50EC0EC124500A2B84302357556EBD10C827B0F98294C12F5F96896106DBCC280D395	NULL
			8	quos	Ava.Braun44	Alvera	Predovic	Bartoletti	Saepe maxime cupiditate quibusdam rem ut dolorum animi qui. Nemo qui quia quo ut. Accusantium aut provident molestiae cum consequatur unde ut. Aspernatur voluptas similique quo sit unde.	Isabelle_Fahey@gmail.com	normal	NULL	NULL	NULL		NULL	NULL
			10	sequi	Antwon.Yost	Fredrick	Donnelly	Koch	Ut aut praesentium quis placeat iste maiores eligendi odio enim. Est omnis facere similique harum. Aperiam nam placeat rerum incidunt veniam aut. Totam quia qui commodi sunt.	Bert12@yahoo.com	normal	NULL	NULL	NULL		NULL	NULL
10:55	10/02/2021	eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MjIsInJvbCI6ImFkbWluIiwiaWF0IjoxNjEyOTUwOTEyLCJleHAiOjE2MTMwMzczMTJ9.zSTRT7hUioutMku7ls_9Mnejb2hMUpS7CH6Znd2yWpk	22	NULL	louie14o_e983s@hexud.com	perillo8	${ape1_usu}	${ape2_usu}	${biografia_usu}	louie14o_e983s@hexud.com	admin	1	NULL	NULL		9c27a24588b12c027228878c48c6dfcbdedbd5f6b393a513c6e438203165ff5c42d498b88e9abf3690e6d4ddd8bc2489d8e119db797b43b2529be8f9b471514e	10/10/2020 19:00
			23	NULL	Juan	Juan a	vad	dadfad	Rempel	Jerome.Johnson@hotmail.com	normal	1	NULL	NULL		19f7bad29bd345394fbc66549f0986b572a65f44dff055ab06c7fea808b5879c0a9bb62fcdb7bc38750987c3d0efee16f0fad7409ae51eedbf102b57edf91f8d	07/02/2021 17:06
